x_soll;y_soll;x_ist;y_ist;delta
2.180146942;-1.579944945;2.220799641;-1.607381813;58.854142
2.220740698;-1.529047428;2.256877139;-1.554376709;52.955427
2.261332862;-1.476032766;2.297466116;-1.497127755;50.208359
2.304180765;-1.420896179;2.333540428;-1.43988836;41.960429
2.34025667;-1.365773929;2.362839556;-1.378429011;31.064425
2.367311209;-1.321256523;2.380858392;-1.32546214;17.021964
2.407900187;-1.26400757;2.39435619;-1.264036245;-16.252832
2.448474827;-1.187704307;2.430409793;-1.179273958;-23.922362
2.489049467;-1.111401044;2.470987619;-1.107204986;-22.251419
2.529614549;-1.022394907;2.520583625;-1.020296878;-11.12571
2.558900932;-0.943998394;2.576964373;-0.950311598;22.961881
2.581429655;-0.884670528;2.59723417;-0.888871365;19.623935
2.601705824;-0.831698878;2.622025004;-0.835890157;24.89634
2.621977213;-0.772375791;2.642297987;-0.778684216;25.532945
2.635478198;-0.715184187;2.660310451;-0.717248762;29.901517
2.651236515;-0.657987804;2.685102878;-0.666384699;41.870172
2.666983681;-0.585971402;2.69407486;-0.590148344;32.893548
2.678232112;-0.535136013;2.703062772;-0.535083443;29.796859
2.689472577;-0.473714897;2.718821089;-0.47788706;35.572301
2.698462083;-0.420767143;2.739097258;-0.42491541;49.015639
2.70293055;-0.359360364;2.750336131;-0.361377148;56.938154
2.709648385;-0.287363079;2.757053966;-0.289379863;56.938154
2.714107294;-0.213253427;2.756998209;-0.215279769;51.526506
2.716296126;-0.12221139;2.745639859;-0.120032116;35.309455
2.713995782;-0.065053239;2.743341107;-0.064991111;35.21447
2.713938432;0.011164;2.738770686;0.009099425;29.901517
2.707107492;0.089484047;2.743223223;0.091677659;43.418745
2.700286109;0.155101222;2.738655987;0.161533903;46.68643
2.691201022;0.229182199;2.731826639;0.237736805;49.819833
2.675343937;0.303248839;2.720484219;0.311813003;55.134614
2.661745777;0.375203112;2.709141799;0.385889201;58.302904
2.648163548;0.42598593;2.706844641;0.43881306;72.080015
2.632312834;0.491583988;2.706792071;0.508678863;91.699093
2.614209567;0.55082583;2.695456023;0.574286479;101.47906
2.584802113;0.633332378;2.668302715;0.661032096;105.570166
2.56443992;0.694686586;2.647940522;0.722386305;105.570166
2.525998356;0.783525454;2.614007252;0.819703313;114.185553
