Points;x_TS;y_TS;z_TS
21_01_P64;1001.502;1982.185;99.526
21_01_P63;1002.431;1981.92;99.507
21_01_P62;1003.278;1981.843;99.432
21_01_P61;1003.966;1981.874;99.424
21_01_P60;1004.014;1981.697;100.338
21_01_P59;1003.411;1981.631;100.345
21_01_P58;1002.674;1981.667;100.362
21_01_P57;1001.857;1981.834;100.38
21_01_P56;1001.872;1981.826;101.011
21_01_P55;1002.548;1981.679;100.997
21_01_P54;1003.293;1981.625;100.981
21_01_P53;1003.983;1981.664;100.968
21_01_P52;1003.987;1981.719;101.455
21_01_P51;1003.394;1981.682;101.466
21_01_P50;1002.425;1981.746;101.455
21_01_P49;1001.873;1981.871;101.469
21_01_P48;1001.931;1982.088;101.468
21_01_P47;1002.641;1981.944;101.454
21_01_P46;1003.464;1981.896;101.439
21_01_P45;1004.157;1981.973;101.428
21_01_P44;1004.149;1981.931;100.815
21_01_P43;1003.534;1981.857;100.83
21_01_P42;1002.439;1981.928;100.853
21_01_P41;1001.822;1982.09;100.867
21_01_P40;1001.818;1982.115;100.099
21_01_P39;1002.452;1981.953;100.083
21_01_P38;1003.359;1981.884;100.066
21_01_P37;1004.259;1981.986;100.05
21_01_P36;1004.214;1982.099;99.611
21_01_P35;1003.674;1982.012;99.577
21_01_P34;1002.313;1982.118;99.601
21_01_P33;1001.808;1982.274;99.613
21_01_P32;1001.814;1982.815;99.641
21_01_P31;1002.354;1982.649;99.627
21_01_P30;1003.36;1982.561;99.563
21_01_P29;1004.095;1982.656;99.677
21_01_P28;1004.139;1982.504;100.293
21_01_P27;1003.771;1982.436;100.3
21_01_P26;1002.572;1982.472;100.322
21_01_P25;1001.801;1982.644;100.337
21_01_P24;1001.809;1982.631;101.033
21_01_P23;1002.463;1982.477;101.019
21_01_P22;1003.366;1982.402;101.003
21_01_P21;1003.961;1982.447;100.992
21_01_P20;1003.962;1982.572;101.796
21_01_P19;1003.266;1982.543;101.808
21_01_P18;1002.667;1982.576;101.819
21_01_P17;1001.992;1982.728;101.834
21_01_P16;1002.095;1983.107;101.796
21_01_P15;1002.519;1982.998;101.786
21_01_P14;1003.353;1982.928;101.771
21_01_P13;1004.181;1983.023;101.759
21_01_P12;1004.189;1982.885;100.676
21_01_P11;1003.489;1982.781;100.661
21_01_P10;1002.638;1982.828;100.677
21_01_P9;1001.779;1983.04;100.696
21_01_P8;1001.804;1983.155;99.898
21_01_P7;1002.554;1982.961;99.883
21_01_P6;1003.353;1982.914;99.893
21_01_P5;1004.128;1982.981;99.878
21_01_P4;1004.106;1983.042;99.537
21_01_P3;1003.439;1982.984;99.549
21_01_P2;1002.177;1983.185;99.596
21_01_P1;1001.578;1983.376;99.606
