Punktmessung;x;y;z
03_12_24_P1_Encoder;1563.801735;5403.099368;3555.924937
03_12_24_P2_Encoder;1368.381629;5487.85807;3517.216851
03_12_24_P3_Encoder;2784.672678;5061.759946;3809.668258
03_12_24_P4_Encoder;415.8568671;5582.251693;3292.097674
03_12_24_P5_Encoder;654.5290902;5794.183772;2270.648887
03_12_24_P6_Encoder;1768.346074;5676.557668;2524.574634
03_12_24_P7_Encoder;2970.800161;5311.438402;2776.28439
03_12_24_P8_Encoder;2867.67364;5470.715241;1906.844194
03_12_24_P9_Encoder;1834.532775;5753.19966;1684.848202
03_12_24_P10_Encoder;668.4977427;5853.624065;1414.924366
