Gelenk;Achse;X;Y;Z
Maschine;i;-0.9085909405936762;-0.34448271254080315;-0.23620788181521157
;j;0.35061012229449323;-0.9363682811881906;0.016940605931136204
;k;-0.22701331418165555;-0.0674247932529567;0.9715548633191318
Gelenk0;i;0.3458423687841469;0.05619575872657104;-0.9366082920062768
;j;0.28935801324805116;0.9431654607783434;0.16343455498735832
;k;0.8925609201185714;-0.32753770820459777;0.30992588401288634
Gelenk1;i;0.47445486502269696;0.0561175493148838;0.8784892723961892
;j;0.8740231648988137;0.08874191858348254;-0.47771160662724504
;k;-0.10476682813064224;0.9944725700314787;-0.0069440030551786176
Gelenk2;i;0.002348587991852392;-0.5236178715871709;0.8519500036322354
;j;0.022372906472922928;-0.8517115908080644;-0.5235330162837396
;k;0.9997469365746506;0.020290161106252605;0.00971453405387742
Gelenk3;i;0.018805300959182418;0.6875167229495271;0.7259250073668615
;j;-0.16013542041195622;0.7187515002446235;-0.6765744068656374
;k;-0.986915907149804;-0.10352312089985614;0.12361211774673696
Gelenk4;i;0.12089537314775933;0.420774944555518;0.8990732755375197
;j;0.0697111505746028;0.8998815549246342;-0.43052705210240594
;k;-0.9902144536599277;0.11472416110272257;0.07945881085346967
Gelenk5;i;0.4064842691807339;0.49408418281245314;0.7685384565544883
;j;-0.28692963007963346;0.8676428419679214;-0.40603852793077816
;k;-0.867434104869626;-0.05546818075598842;0.4944505583298006
Gelenk6;i;-0.3179320839469886;0.45221830001389435;0.8333173459911106
;j;-0.9343204854750283;-6.144977534106034e-05;-0.3564340424898167
;k;-0.16113478959812613;-0.8919072851796136;0.422536358464806
Gelenk7;i;0.006640953898068777;-0.25540276972339065;0.9668119377360544
;j;0.19683639461200764;-0.9475837539485573;-0.2516753126727097
;k;0.9804138572498197;0.19197514024055526;0.043979700341741715
Maschine_neu;i;-0.8542797206946214;-0.5196761210156945;0.011953579212979683
;j;0.5198135633372087;-0.8540597506797254;0.01938560392556758
;k;0.0001348354307821993;0.02277436091236298;0.9997406215136205
