ID,x_Encoder,y_Encoder,z_Encoder,encoder_0,encoder_1,encoder_2,encoder_3,encoder_4,encoder_5,encoder_6,encoder_7,cluster
21_01_P27,-407.963847,6891.41395,331.198694,0.12213095155540477,-0.2608246708401804,0.3929,-0.19174759848570513,0.15855129549786745,0.0023351047443932018,-0.37659228342592493,0.1641359443037636,0
21_01_P35,-329.335913,7306.532038,-410.944125,0.11804201650486035,-0.427716986872176,0.3925,-0.36225915043911844,0.16507071384638142,0.5631379809309429,-0.3773592738198677,0.16260196351587797,0
03_03_P23,-473.7030352,6991.008629,256.8460141,0.10331294259005652,-0.2619511879812839,0.4214,-0.18932678505482312,0.10982343703268763,0.06085008245683461,-0.12425244381873693,0.1418932228794218,0
25_02_E_P23,-508.5631007,7068.996529,333.8903364,0.0701085365771339,-0.22240324579360726,0.42510000000000003,-0.10625213801089137,0.02928944566869146,0.059922908514207895,0.10737865515199488,-0.0674951546669682,0
01_02_P1095,-313.1721248,7010.980975,32.70960883,,-0.7939626486549494,-0.06684167,2.679785123656739,-1.802855350047125,-1149.003122607311,0.9537789675863779,0.710437824235063,0
21_01_P1,1800.909468,5998.816045,-397.060725,-0.3652763497050402,-0.48013598660820567,0.0027,-0.4304254217007866,-0.28949093681379334,0.0005837761860983004,-0.37889325460775336,0.4341165629716365,1
21_01_P32,1551.220516,6547.804183,-364.950395,-0.31365472564962427,-0.42774095532198675,0.3927,-0.3635774151787077,-0.30883347581103887,-0.00010301932695852361,-0.37659228342592493,0.16260196351587797,1
25_02_E_P4,817.8363642,7229.314894,100.7042969,-0.19052111627520696,-0.30588535648432114,0.4002,-0.24663534855223823,-0.19416841191658718,0.38209868368916405,0.1081456455459377,-0.07056311624273949,1
03_03_P31,1021.935115,6808.677115,282.3627187,-0.20184495249917433,-0.26197515643109465,0.3528,-0.1903574283966838,-0.17681525425363087,0.02115330180215018,-0.12501943421267975,0.14419419406125028,1
21_01_P7,819.299552,6393.656779,-103.967989,-0.1426324869284492,-0.40696030933609845,-0.0002,-0.34857316559720125,-0.10035589935745592,0.0015452899043778541,-0.3796602450016962,0.1641359443037636,1
21_01_P59,-63.190999,7703.760775,354.006852,0.05079052376884974,-0.23318904820842817,0.614,-0.16514261919581355,0.09175122587540992,0.5635843980144298,-0.37659228342592493,0.1641359443037636,2
01_02_P892,-914.7269235,7545.753509,-510.9452971,,-0.7939648368743564,-0.06683615999999999,2.6797836426303197,-1.8028558705319722,-1149.0031007705115,0.9541289907736963,0.7105819514298415,2
03_03_P12,-478.0264666,7944.361115,-478.2154011,0.104131622666785,-0.3792527813549141,0.7129000000000001,-0.28961077906284693,0.1225506838821763,0.8366199542301702,-0.1227184630308513,0.14419419406125028,2
21_01_P60,-665.315009,7623.166016,360.322664,0.16706069556703884,-0.23318904820842817,0.5930000000000001,-0.164854997798085,0.19884225962967625,0.5636874173413884,-0.3758252930319821,0.1641359443037636,2
25_02_E_P20,-850.6590673,7782.270186,211.4965981,0.14664681338653618,-0.22237927734379653,0.6369,-0.10457434652414145,0.1413179800839647,0.6091532803057501,0.10737865515199488,-0.0674951546669682,2
21_01_P57,1496.870525,7539.191135,360.513561,-0.2578148096074997,-0.23316507975861744,0.6143000000000001,-0.16677247378294205,-0.20847757645358292,0.5635843980144298,-0.37659228342592493,0.1641359443037636,3
21_01_P58,678.827089,7684.9544,356.117222,-0.09836041239272775,-0.23318904820842817,0.6143000000000001,-0.16602945183880993,-0.06016080902488999,0.5635843980144298,-0.37659228342592493,0.1641359443037636,3
25_02_E_P27,46.90786513,7702.899735,315.4621864,-0.04997193504642339,-0.22242721424341796,0.29200000000000004,-0.11919510090867647,-0.08348211069071387,0.8270048170473747,0.10661166475805206,-0.0674951546669682,3
03_03_1_P30,792.56536,7824.703345,271.0018074,-0.19574217709613895,-0.25483255838750213,0.3806,-0.19412047501696575,-0.23795876972076008,1.008353172270029,-0.12885438618239387,0.12885438618239387,3
03_03_P4,471.908349,7837.089768,-429.2727249,-0.1285265352151943,-0.37927674980472476,0.6521,-0.2954351123668502,-0.18012290032750927,0.8065039709826285,-0.12348545342479411,0.14266021327336462,3
03_03_1_P49,-1180.891126,6453.273333,2015.621705,0.2581582723432507,0.15689747246092822,0.18330000000000002,0.24205737463839203,0.22825154754742127,0.033893358569354264,-0.12885438618239387,0.12885438618239387,4
03_03_P46,-985.2891077,7349.439417,964.404568,0.18910157258463056,-0.06958040980050026,0.809,0.04417385300114432,0.19241871508040512,0.0696754047996148,-0.12501943421267975,0.14419419406125028,4
03_03_P47,-884.1134728,6891.662178,1007.724475,0.18910157258463056,-0.06960437825031097,0.338,0.04414988455133361,0.19241871508040512,0.06988144345353185,-0.12501943421267975,0.14419419406125028,4
03_03_1_P55,-678.8011144,6705.520635,2014.05483,0.12008660738647658,0.1568255671114961,0.39980000000000004,0.2416259425417992,0.054096791222779564,0.011023067984562027,-0.12885438618239387,0.33440781175906975,4
03_03_1_P42,-689.9427963,7091.202808,1004.609355,0.13684368572096828,-0.08007859081759261,0.4948,0.00975515907296025,0.125834361506244,0.07698977701366998,-0.12885438618239387,0.12885438618239387,4
21_01_P10,746.32104,6536.983614,693.985619,-0.12682051836333819,-0.1832867357025234,-0.00030000000000000003,-0.09177519432522062,-0.09273393231764915,0.0015452899043778541,-0.37889325460775336,0.1641359443037636,5
21_01_P18,732.906572,6805.467499,1825.848891,-0.10471366000076565,0.09481918745118119,0.3935,0.18041052172523783,-0.038996667842030285,0.001854347885253425,-0.3773592738198677,0.1641359443037636,5
25_02_E_P62,804.1627416,7083.623225,1693.995435,-0.18140575410537418,0.05555886666123307,0.5716,0.1128674301586482,-0.18438928439381622,0.08876832006259451,0.10584467436410924,-0.06902913545485385,5
21_01_P48,1455.586874,7302.897499,1447.575552,-0.25025556839142027,0.01874332775197768,0.392,0.1057488005648664,-0.18139322816747708,0.5632066604822485,-0.3773592738198677,0.1641359443037636,5
03_03_P34,1034.346131,6886.0404,1010.39157,-0.20184495249917433,-0.06953247290087883,0.4007,0.042496061514394404,-0.1767433489041987,0.021325000680414388,-0.12501943421267975,0.14419419406125028,5
21_01_P51,-23.9586,7672.507276,1469.322237,0.05120200022410826,0.01869539085235625,0.6146,0.09769540142846678,0.10757040275048059,0.5634813786874713,-0.37659228342592493,0.1641359443037636,6
03_03_1_P45,-1599.794695,8314.690487,863.1955369,0.2581582723432507,-0.08036621221532117,0.8432000000000001,0.011864382656303006,0.18719359302166966,1.098083006050903,-0.12808739578845105,0.12885438618239387,6
03_03_P53,-234.4912507,8046.360789,1852.154611,0.05901618426019595,0.1292858182789867,0.7527,0.2175376504820325,0.08575911342273163,0.9235339264075113,-0.12501943421267975,0.2500388684253595,6
21_01_P52,-615.734265,7621.210648,1470.941868,0.1588962923881927,0.01869539085235625,0.6145,0.09800699127600604,0.19428825416564074,0.5634813786874713,-0.37659228342592493,0.1641359443037636,6
25_02_E_P51,-1020.276504,7853.171493,1626.140058,0.1654279048199807,0.05575061425971877,0.6244000000000001,0.12080098704599425,0.13026852472122594,0.7929397595997562,0.10584467436410924,-0.07056311624273949,6
21_01_P49,1505.0501,7520.410817,1446.601052,-0.25025556839142027,0.018719359302166966,0.6148,0.1057488005648664,-0.18132132281804492,0.5634470389118185,-0.3773592738198677,0.1641359443037636,7
01_02_P698,355.8756257,7710.643884,1353.14396,,-0.7939555715546923,-0.06689663000000001,2.6797919698133885,-1.8028564312308808,-1149.0030773004921,0.9541101659972347,0.710877853384835,7
25_02_E_P61,788.2579919,7790.622826,1644.054865,-0.18140575410537418,0.05555886666123307,0.5716,0.11464109544464096,-0.18376610469873766,0.7964080769406932,0.10584467436410924,-0.06902913545485385,7
21_01_P50,950.815367,7632.097095,1442.133947,-0.12554153342651575,0.018719359302166966,0.6147,0.10656372785843063,-0.03470631532591263,0.5634813786874713,-0.3773592738198677,0.1641359443037636,7
25_02_E_P37,132.5862507,8033.817897,1212.268651,-0.05583442025094132,-0.07449394201169644,0.6371,-0.06677610117264682,-0.07367901471813221,0.8521071930496016,0.10737865515199488,-0.06289321230331128,7
